threshold,persistence,false_positive_rate,coverage,mean_lead,score
1.5,3,0.012048192771084338,0.9959839357429718,141.86693548387098,189.2564937168027
1.5,5,0.01606425702811245,0.9076305220883534,116.90265486725664,159.07132956605182
2.0,3,0.028112449799196786,0.8554216867469879,109.11737089201878,146.2659652695288
1.5,8,0.024096385542168676,0.7791164658634538,98.13917525773196,132.2757214424709
2.0,5,0.03614457831325301,0.7309236947791165,93.12637362637362,122.44364270267884
2.5,3,0.0642570281124498,0.7188755020080321,87.13966480446928,110.23203428238092
2.0,8,0.0642570281124498,0.5983935742971888,78.88590604026845,95.95417913263792
2.5,5,0.07228915662650602,0.5823293172690763,75.8344827586207,90.4931172967733
3.0,3,0.08032128514056225,0.570281124497992,76.6830985915493,89.13289778833644
3.0,8,0.01606425702811245,0.26104417670682734,70.24615384615385,80.08551127587272
2.5,8,0.04417670682730924,0.41767068273092367,66.1826923076923,78.23088507877665
3.0,5,0.06827309236947791,0.44176706827309237,68.93636363636364,77.37009857612267
