unit,cycle,state,drift_alert,structural_drift_score,lead_time_hours,lead_time_confidence,system_health,drift_smooth,ims_policy_state,ims_policy_alert,ims_policy_watch,ims_watch_threshold,ims_alert_threshold
1,1,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,2,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,3,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,4,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,5,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,6,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,7,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,8,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,9,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,10,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,11,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,12,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,13,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,14,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,15,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,16,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,17,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,18,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,19,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,20,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,21,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,22,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,23,STABLE,False,0.0,,0.0,100,0.0,STABLE,False,False,846593.566956,853788.0827694
1,24,STABLE,False,16.7546,,0.99,40,0.6981083333333333,STABLE,False,False,846593.566956,853788.0827694
1,25,STABLE,False,34.6971,0.0,0.99,40,2.058068,STABLE,False,False,846593.566956,853788.0827694
1,26,WATCH,False,27.5155,,0.99,40,3.1586879999999997,STABLE,False,False,846593.566956,853788.0827694
1,27,ALERT,True,18.1258,,0.99,40,3.8837199999999994,STABLE,False,False,846593.566956,853788.0827694
1,28,ALERT,True,25.1241,0.0,0.99,40,4.888684,STABLE,False,False,846593.566956,853788.0827694
1,29,WATCH,False,42.5306,0.0,0.99,40,6.589908,STABLE,False,False,846593.566956,853788.0827694
1,30,WATCH,False,32.4689,,0.99,40,7.888664,STABLE,False,False,846593.566956,853788.0827694
1,31,WATCH,False,25.3909,,0.99,40,8.9043,STABLE,False,False,846593.566956,853788.0827694
1,32,WATCH,False,831290.9153,0.0,0.35,20,33260.540912000004,STABLE,False,False,846593.566956,853788.0827694
1,33,WATCH,False,877864.8893,0.0,0.35,20,68375.136484,STABLE,False,False,846593.566956,853788.0827694
1,34,WATCH,False,925336.3808,0.0,0.35,20,105388.59171600001,STABLE,False,False,846593.566956,853788.0827694
1,35,WATCH,False,893328.767,,0.35,20,141121.74239600002,STABLE,False,False,846593.566956,853788.0827694
1,36,WATCH,False,832473.692,,0.35,20,174420.69007600003,STABLE,False,False,846593.566956,853788.0827694
1,37,WATCH,False,823731.2838,,0.35,20,207369.941428,STABLE,False,False,846593.566956,853788.0827694
1,38,WATCH,False,804313.5082,,0.35,20,239542.481756,STABLE,False,False,846593.566956,853788.0827694
1,39,WATCH,False,787650.0625,,0.35,20,271048.484256,STABLE,False,False,846593.566956,853788.0827694
1,40,WATCH,False,792107.6982,0.0,0.35,20,302732.792184,STABLE,False,False,846593.566956,853788.0827694
1,41,WATCH,False,801948.2866,0.0,0.35,20,334810.723648,STABLE,False,False,846593.566956,853788.0827694
1,42,STABLE,False,795816.4545,,0.35,20,366643.381828,STABLE,False,False,846593.566956,853788.0827694
1,43,STABLE,False,733299.5448,,0.35,20,395975.36362,STABLE,False,False,846593.566956,853788.0827694
1,44,STABLE,False,715301.6255,,0.35,20,424587.42864,STABLE,False,False,846593.566956,853788.0827694
1,45,STABLE,False,775332.8582,0.0,0.35,20,455600.742968,STABLE,False,False,846593.566956,853788.0827694
1,46,STABLE,False,766470.0232,,0.35,20,486259.543896,STABLE,False,False,846593.566956,853788.0827694
1,47,STABLE,False,768679.9555,0.0,0.35,20,517006.742116,STABLE,False,False,846593.566956,853788.0827694
1,48,WATCH,False,827634.185,0.0,0.35,20,550112.109516,STABLE,False,False,846593.566956,853788.0827694
1,49,WATCH,False,804747.7292,,0.35,20,582301.3485,STABLE,False,False,846593.566956,853788.0827694
1,50,WATCH,False,767099.5456,,0.35,20,612983.94244,STABLE,False,False,846593.566956,853788.0827694
1,51,WATCH,False,806970.2186,0.0,0.35,20,645261.650564,STABLE,False,False,846593.566956,853788.0827694
1,52,WATCH,False,881608.1396,0.0,0.35,20,680525.251116,STABLE,False,False,846593.566956,853788.0827694
1,53,WATCH,False,936843.0932,0.0,0.35,20,717997.9698800001,STABLE,False,False,846593.566956,853788.0827694
1,54,WATCH,False,910232.6962,,0.35,20,754405.576504,STABLE,False,False,846593.566956,853788.0827694
1,55,STABLE,False,836431.9048,,0.35,20,787861.5539400001,STABLE,False,False,846593.566956,853788.0827694
1,56,WATCH,False,771951.6473,,0.35,20,818738.6041959999,STABLE,False,False,846593.566956,853788.0827694
1,57,WATCH,False,727537.4174,,0.35,20,814588.4642800001,STABLE,False,False,846593.566956,853788.0827694
1,58,WATCH,False,730821.6684,0.0,0.35,20,808706.7354440001,STABLE,False,False,846593.566956,853788.0827694
1,59,WATCH,False,796382.445,0.0,0.35,20,803548.5780119998,STABLE,False,False,846593.566956,853788.0827694
1,60,WATCH,False,871086.0972,0.0,0.35,20,802658.8712200001,STABLE,False,False,846593.566956,853788.0827694
1,61,WATCH,False,874306.2479,0.0,0.35,20,804332.1734559999,STABLE,False,False,846593.566956,853788.0827694
1,62,WATCH,False,875998.8039,0.0,0.35,20,806422.87426,STABLE,False,False,846593.566956,853788.0827694
1,63,WATCH,False,902436.024,0.0,0.35,20,810347.774892,STABLE,False,False,846593.566956,853788.0827694
1,64,STABLE,False,849765.3558,,0.35,20,812832.386624,STABLE,False,False,846593.566956,853788.0827694
1,65,WATCH,False,824029.9589,,0.35,20,814109.277052,STABLE,False,False,846593.566956,853788.0827694
1,66,WATCH,False,861234.5159,0.0,0.35,20,816480.726224,STABLE,False,False,846593.566956,853788.0827694
