timestamp,open,high,low,close,volume
2024-01-01,114.06,114.24,113.02,113.35,268006
2024-01-02,113.04,113.68,112.35,113.37,200590
2024-01-03,113.8,114.26,113.3,113.83,673833
2024-01-04,115.08,115.14,114.4,114.54,821962
2024-01-05,115.01,115.46,114.12,114.65,1036072
2024-01-06,115.12,116.11,114.88,115.33,774228
2024-01-07,113.99,114.3,113.64,113.92,820497
2024-01-08,114.88,115.33,114.42,114.88,1390358
2024-01-09,115.19,115.79,114.8,115.1,568830
2024-01-10,115.54,116.12,114.96,115.75,790909
2024-01-11,114.99,115.3,114.75,115.02,880339
2024-01-12,114.04,114.58,113.76,114.52,755648
2024-01-13,114.65,115.18,114.34,114.61,1455368
2024-01-14,114.73,115.11,114.31,114.6,1447079
2024-01-15,114.7,114.97,114.08,114.77,818369
2024-01-16,114.93,115.84,114.41,115.42,730807
2024-01-17,114.66,114.94,113.62,114.36,924556
2024-01-18,115.05,115.35,114.09,114.94,353238
2024-01-19,114.73,115.47,114.54,114.95,696373
2024-01-20,114.74,114.96,114.33,114.83,403682
2024-01-21,113.49,114.55,113.33,113.94,301670
2024-01-22,113.94,114.37,113.69,114.25,233262
2024-01-23,112.64,113.06,112.36,112.8,921894
2024-01-24,113.55,114.34,113.0,113.19,100795
2024-01-25,112.1,112.92,111.91,112.29,1004641
2024-01-26,112.51,112.93,111.95,112.32,704723
2024-01-27,112.09,112.46,111.93,112.25,613075
2024-01-28,113.03,113.32,112.38,112.95,1176939
2024-01-29,112.8,113.26,112.59,112.85,854249
2024-01-30,112.69,113.1,111.47,112.43,1126853
2024-01-31,111.96,112.51,111.66,112.13,1093264
2024-02-01,112.42,113.28,112.0,112.89,145008
2024-02-02,112.8,113.57,112.66,113.21,401689
2024-02-03,112.82,113.09,112.08,112.98,897976
2024-02-04,112.46,113.13,111.84,112.84,1465764
2024-02-05,112.02,112.6,111.44,111.9,315996
2024-02-06,111.99,112.26,111.86,112.13,247781
2024-02-07,111.79,112.15,110.63,111.07,1417506
2024-02-08,111.0,111.76,110.83,111.53,1453522
2024-02-09,111.66,112.09,110.91,111.6,334310
