timestamp,open,high,low,close,volume
2024-01-01,105.74,105.88,105.28,105.6,221766
2024-01-02,105.99,106.14,105.39,105.82,1156402
2024-01-03,105.02,105.37,104.75,104.98,1457313
2024-01-04,105.95,106.31,105.68,105.85,236903
2024-01-05,105.99,106.31,105.55,105.76,679672
2024-01-06,105.69,106.55,105.42,105.93,755523
2024-01-07,107.59,108.23,107.16,107.33,283417
2024-01-08,107.83,108.61,107.4,108.24,380787
2024-01-09,108.15,108.18,107.51,108.06,343256
2024-01-10,107.75,108.28,107.62,107.7,359525
2024-01-11,107.32,108.02,106.91,107.5,664940
2024-01-12,107.8,108.27,107.45,107.81,749359
2024-01-13,107.56,108.34,107.09,107.75,433178
2024-01-14,107.19,107.68,106.79,107.51,505201
2024-01-15,108.28,109.19,108.17,108.39,369131
2024-01-16,107.99,108.53,107.84,108.32,1214484
2024-01-17,109.8,110.35,109.3,109.7,396455
2024-01-18,109.41,109.82,108.8,109.76,1370646
2024-01-19,111.04,111.25,110.78,110.83,854397
2024-01-20,110.69,111.74,110.22,111.04,1223808
2024-01-21,111.45,111.97,110.81,111.62,990952
2024-01-22,111.0,111.75,110.63,111.18,472443
2024-01-23,111.07,111.52,110.16,110.67,941907
2024-01-24,111.05,111.43,110.69,110.95,483788
2024-01-25,111.48,112.21,111.1,111.54,265984
2024-01-26,111.71,112.07,111.49,111.57,456619
2024-01-27,110.16,110.84,110.09,110.79,485896
2024-01-28,109.96,110.22,109.38,109.98,289053
2024-01-29,109.72,110.23,108.92,109.12,133053
2024-01-30,108.1,108.58,107.75,108.06,1421317
2024-01-31,108.15,108.23,108.0,108.13,818790
2024-02-01,108.97,109.22,108.68,108.8,662866
2024-02-02,109.06,109.35,108.43,108.79,1401933
2024-02-03,106.84,107.76,106.58,107.44,414565
2024-02-04,106.82,107.45,106.34,107.32,664018
2024-02-05,107.29,107.56,106.73,107.22,1285339
2024-02-06,108.27,108.74,107.8,108.48,984844
2024-02-07,108.0,108.56,107.16,107.61,658873
2024-02-08,107.28,107.94,106.56,107.37,458158
2024-02-09,107.82,108.77,107.63,108.4,149163
