timestamp,ticker,open,high,low,close,volume
2026-01-02T14:30:00Z,AAPL,100,101,99,100.5,1000000
2026-01-02T14:31:00Z,AAPL,100.5,102,100,101.8,1100000
2026-01-02T14:32:00Z,AAPL,101.8,103,101.5,102.9,1200000
2026-01-02T14:33:00Z,AAPL,102.9,103.2,101.9,102.1,900000
2026-01-02T14:34:00Z,AAPL,102.1,104.0,102.0,103.7,1300000
2026-01-02T14:30:00Z,MSFT,250,251,249.8,250.6,800000
2026-01-02T14:31:00Z,MSFT,250.6,252.4,250.2,251.9,850000
2026-01-02T14:32:00Z,MSFT,251.9,253.0,251.0,252.4,900000
2026-01-02T14:33:00Z,MSFT,252.4,252.8,250.9,251.1,950000
2026-01-02T14:34:00Z,MSFT,251.1,253.5,251.0,253.2,1000000
